Vehicle Number,Category,Owner Name,User Id,Owner Account Number,Average Speed of vehicle,Toll price per km,Account Balance,Amount Charged,Entry Time Stamp,Entry Gate Coordinates,Exit Time Stamp,Exit Gate Coordinates,Distance Travelled
WB 001 1234,Sedan,Raashi Khanna,RS1234,2342567899126969.0,60.0,8.5,50000.0,0.0,,,,,0.0
WB 002 1235,HatchBack,Ramesh Kale,RH1235,2342567099126969.0,60.0,7.5,50000.0,0.0,,,,,0.0
WB 003 1236,Truck,Karan Dogra,KT1236,2342567899123969.0,40.0,35.0,50000.0,0.0,,,,,0.0
WB 004 1237,Bus,Champak Singh,CB1237,2342564899126969.0,40.0,30.0,50000.0,0.0,,,,,0.0
WB 005 1238,SUV,Ram Sharma,RS1238,2342569899126969.0,55.0,10.0,50000.0,0.0,,,,,0.0
WB 006 1239,Sport,Shyam Verma,SS1239,2342567800126969.0,75.0,9.0,50000.0,0.0,,,,,0.0
WB 007 1240,Micro,Prem Kuute,PM1240,2342567012126969.0,60.0,7.0,50000.0,0.0,,,,,0.0
WB 008 1241,Coupe,Champu Singh,CC1241,2342567333326969.0,65.0,8.0,50000.0,0.0,,,,,0.0
WB 009 1242,Crossover,Narendra Modi,NC1242,2342560018126969.0,70.0,9.5,50000.0,0.0,,,,,0.0
WB 010 1243,Van,Rahul Gandhi,RV1243,2342523899126969.0,50.0,6.0,50000.0,0.0,,,,,0.0
