Owner Name,User Id,Email Id,Password
Raashi Khanna,RS1234,raashikhanna123@gmail.com,raashiqwerty123
Ramesh Kale,RH1235,rameshkale11@gmail.com,ramesh001
Karan Dogra,KT1236,karandogra@gmail.com,karan001
Champak Singh,CB1237,champaksingh@gmail.com,champak001
Ram Sharma,RS1238,ramsharma@gmail.com,ram001
Shyam Verma,SS1239,shyamverma@gmail.com,shyam001
Prem Kuute,PM1240,premkuute@gmail.com,prem001
Champu Singh,CC1241,champusingh@gmail.com,champu001
Narendra Modi,NC1242,narendramodi@gmail.com,narendra001
Rahul Gandhi,RV1243,rahulgandhi@gmail.com,rahul001
